Unnamed: 0,Province or State,City,Latitude,Longitude,Postal code,Education,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Income_Class,CustomerTenure,Active_Client
4394,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,College,0.0,Divorced,Nova,2019-07-30,2021-12-31,2838.07,Standard,Zero Income,885,Active
4395,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,College,0.0,Divorced,Nova,2017-09-29,2021-12-31,2838.07,Standard,Zero Income,1554,Active
4396,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Bachelor,71460.0,Married,Nova,2017-05-18,2021-12-31,2839.3,Standard,Non-Zero Income,1688,Active
4397,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,71460.0,Married,Nova,2015-09-04,2021-12-31,2839.3,Standard,Non-Zero Income,2310,Active
4398,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,53071.0,Divorced,Nova,2016-05-06,2021-12-31,2839.8,Standard,Non-Zero Income,2065,Active
4399,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,33252.0,Married,Nova,2021-02-25,2021-12-31,2839.81,2021 Promotion,Non-Zero Income,309,Active
4400,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,53444.0,Divorced,Nova,2018-10-25,2021-12-31,2839.95,Standard,Non-Zero Income,1163,Active
4401,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,79181.0,Divorced,Nova,2018-08-14,2021-12-31,2840.3,2021 Promotion,Non-Zero Income,1235,Active
4402,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,79181.0,Divorced,Nova,2021-05-23,2021-12-31,2840.3,Standard,Non-Zero Income,222,Active
4403,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,College,0.0,Married,Nova,2016-03-02,2021-12-31,2840.85,Standard,Zero Income,2130,Active
4404,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,College,0.0,Single,Nova,2021-03-07,2015-11-30,2840.9,2021 Promotion,Zero Income,-1924,Inactive
4405,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,30473.0,Married,Nova,2015-06-12,2021-12-31,2841.44,Standard,Non-Zero Income,2394,Active
4406,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Bachelor,92629.0,Single,Nova,2021-02-12,2021-12-31,2842.03,2021 Promotion,Non-Zero Income,322,Active
4407,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Bachelor,43793.0,Married,Nova,2016-10-05,2021-12-31,2842.82,Standard,Non-Zero Income,1913,Active
4408,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Single,Nova,2018-12-30,2021-12-31,2843.15,Standard,Zero Income,1097,Active
4409,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Bachelor,67952.0,Married,Nova,2017-03-17,2021-12-31,2843.56,Standard,Non-Zero Income,1750,Active
4410,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,80306.0,Divorced,Nova,2016-05-02,2020-11-24,2844.85,Standard,Non-Zero Income,1667,Inactive
4411,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Bachelor,80306.0,Divorced,Nova,2018-11-01,2021-12-31,2844.85,Standard,Non-Zero Income,1156,Active
4412,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,86631.0,Divorced,Nova,2019-01-09,2021-12-31,2845.52,Standard,Non-Zero Income,1087,Active
4414,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,39192.0,Divorced,Nova,2021-08-18,2021-12-31,2846.17,Standard,Non-Zero Income,135,Active
4415,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,28919.0,Married,Nova,2016-09-07,2021-12-31,2846.25,Standard,Non-Zero Income,1941,Active
4416,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,28919.0,Married,Nova,2020-11-11,2021-12-31,2846.25,Standard,Non-Zero Income,415,Active
4417,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Bachelor,66880.0,Married,Nova,2016-10-07,2021-12-31,2846.65,Standard,Non-Zero Income,1911,Active
4418,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Bachelor,66880.0,Married,Nova,2015-10-25,2021-12-31,2846.65,Standard,Non-Zero Income,2259,Active
4419,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,96357.0,Married,Nova,2019-03-22,2021-12-31,2847.97,Standard,Non-Zero Income,1015,Active
4420,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,College,0.0,Single,Nova,2021-02-15,2021-12-31,2848.56,2021 Promotion,Zero Income,319,Active
4421,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,College,0.0,Single,Nova,2020-12-04,2021-12-31,2848.56,Standard,Zero Income,392,Active
4422,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,63326.0,Divorced,Nova,2018-09-28,2021-12-31,2849.25,Standard,Non-Zero Income,1190,Active
4423,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,55274.0,Married,Nova,2021-06-12,2021-12-31,2851.16,Standard,Non-Zero Income,202,Active
4424,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,65099.0,Married,Nova,2018-07-10,2021-12-31,2853.37,Standard,Non-Zero Income,1270,Active
4425,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,38798.0,Married,Nova,2016-06-01,2021-12-31,2853.51,Standard,Non-Zero Income,2039,Active
4426,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Bachelor,38798.0,Married,Nova,2021-06-18,2021-12-31,2853.51,Standard,Non-Zero Income,196,Active
4427,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Bachelor,87455.0,Divorced,Nova,2021-12-10,2021-12-31,2853.6,Standard,Non-Zero Income,21,Active
4428,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,71126.0,Married,Nova,2017-11-12,2021-12-31,2854.11,Standard,Non-Zero Income,1510,Active
4429,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Bachelor,34807.0,Single,Nova,2019-11-27,2021-12-31,2854.27,Standard,Non-Zero Income,765,Active
4430,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,34807.0,Single,Nova,2018-11-04,2021-12-31,2854.27,Standard,Non-Zero Income,1153,Active
4431,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Bachelor,99612.0,Married,Nova,2020-08-23,2021-12-31,2855.69,Standard,Non-Zero Income,495,Active
4432,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,50738.0,Divorced,Nova,2017-10-14,2021-12-31,2855.93,Standard,Non-Zero Income,1539,Active
4433,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,College,0.0,Married,Nova,2021-11-18,2021-12-31,2856.95,Standard,Zero Income,43,Active
4434,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,College,0.0,Married,Nova,2018-11-01,2019-07-01,2856.95,Standard,Zero Income,242,Inactive
4435,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Bachelor,91811.0,Married,Nova,2019-06-21,2021-12-31,2857.11,Standard,Non-Zero Income,924,Active
4436,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,85300.0,Divorced,Nova,2015-11-02,2021-12-31,2857.99,Standard,Non-Zero Income,2251,Active
4437,Ontario,London,42.984924,-81.245277,M5B 3E4,Bachelor,27382.0,Married,Nova,2021-08-29,2021-12-31,2858.09,Standard,Non-Zero Income,124,Active
4438,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,College,0.0,Married,Nova,2016-02-26,2021-12-31,2858.99,Standard,Zero Income,2135,Active
4439,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,College,0.0,Married,Nova,2018-09-05,2021-12-31,2858.99,2021 Promotion,Zero Income,1213,Active
4440,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,51790.0,Married,Nova,2020-09-17,2021-12-31,2859.41,Standard,Non-Zero Income,470,Active
4441,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,99981.0,Married,Nova,2021-12-18,2021-12-31,2859.53,Standard,Non-Zero Income,13,Active
4442,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,99981.0,Married,Nova,2015-05-20,2021-12-31,2859.53,Standard,Non-Zero Income,2417,Active
4443,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,98879.0,Single,Nova,2019-09-28,2021-12-31,2859.8,Standard,Non-Zero Income,825,Active
4444,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,51159.0,Married,Nova,2020-09-25,2021-05-25,2860.11,Standard,Non-Zero Income,242,Inactive
4445,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,51159.0,Married,Nova,2017-10-13,2021-12-31,2860.11,Standard,Non-Zero Income,1540,Active
4446,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Bachelor,27907.0,Divorced,Nova,2018-04-29,2018-12-29,2860.75,Standard,Non-Zero Income,244,Inactive
4447,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,50332.0,Married,Nova,2021-08-29,2021-12-31,2860.86,Standard,Non-Zero Income,124,Active
4448,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,90083.0,Married,Nova,2017-10-18,2021-12-31,2861.72,Standard,Non-Zero Income,1535,Active
4449,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,90083.0,Married,Nova,2016-10-22,2021-12-31,2861.72,Standard,Non-Zero Income,1896,Active
4450,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,74034.0,Divorced,Nova,2021-02-03,2021-12-31,2862.18,2021 Promotion,Non-Zero Income,331,Active
4451,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Bachelor,76356.0,Married,Nova,2020-01-27,2021-12-31,2862.56,Standard,Non-Zero Income,704,Active
4452,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,76356.0,Married,Nova,2019-09-29,2021-12-31,2862.56,Standard,Non-Zero Income,824,Active
4454,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,64640.0,Divorced,Nova,2021-04-21,2021-12-31,2862.73,2021 Promotion,Non-Zero Income,254,Active
4455,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,College,0.0,Married,Nova,2017-07-02,2021-12-31,2863.04,Standard,Zero Income,1643,Active
4456,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Nova,2015-12-12,2021-12-31,2863.04,Standard,Zero Income,2211,Active
4457,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,41077.0,Married,Nova,2016-04-25,2021-12-31,2863.05,Standard,Non-Zero Income,2076,Active
4458,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Bachelor,41077.0,Married,Nova,2020-11-06,2021-12-31,2863.05,Standard,Non-Zero Income,420,Active
4459,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,36706.0,Married,Nova,2016-04-23,2019-08-12,2863.31,Standard,Non-Zero Income,1206,Inactive
4460,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Bachelor,36706.0,Married,Nova,2021-05-24,2021-12-31,2863.31,Standard,Non-Zero Income,221,Active
4461,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Single,Nova,2018-05-26,2019-01-26,2864.09,Standard,Zero Income,245,Inactive
4462,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,91368.0,Divorced,Nova,2016-08-16,2020-10-16,2864.54,Standard,Non-Zero Income,1522,Inactive
4463,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,College,0.0,Single,Nova,2021-02-24,2021-12-31,2864.82,2021 Promotion,Zero Income,310,Active
4464,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,87428.0,Divorced,Nova,2016-11-20,2021-12-31,2866.82,Standard,Non-Zero Income,1867,Active
4465,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,91810.0,Married,Nova,2019-03-26,2021-12-31,2867.21,Standard,Non-Zero Income,1011,Active
4466,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Master,23376.0,Divorced,Nova,2015-07-01,2021-12-31,2867.31,Standard,Non-Zero Income,2375,Active
4467,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Master,23376.0,Divorced,Nova,2016-08-29,2021-12-31,2867.31,Standard,Non-Zero Income,1950,Active
4468,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Master,23376.0,Divorced,Nova,2016-05-04,2021-12-31,2867.31,Standard,Non-Zero Income,2067,Active
4469,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Master,23376.0,Divorced,Nova,2016-11-04,2021-12-31,2867.31,Standard,Non-Zero Income,1883,Active
4470,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Master,23376.0,Divorced,Nova,2021-06-24,2019-02-24,2867.31,Standard,Non-Zero Income,-851,Inactive
4471,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Master,23376.0,Divorced,Nova,2019-07-01,2021-12-31,2867.31,Standard,Non-Zero Income,914,Active
4472,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Master,23376.0,Divorced,Nova,2021-12-09,2021-12-31,2867.31,Standard,Non-Zero Income,22,Active
4473,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Master,23376.0,Divorced,Nova,2015-07-26,2021-12-31,2867.31,Standard,Non-Zero Income,2350,Active
4474,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Bachelor,40046.0,Divorced,Nova,2016-11-20,2021-12-31,2868.6,Standard,Non-Zero Income,1867,Active
4475,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,21234.0,Married,Nova,2021-02-12,2021-12-31,2869.74,2021 Promotion,Non-Zero Income,322,Active
4476,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,21234.0,Married,Nova,2020-07-07,2021-12-31,2869.74,Standard,Non-Zero Income,542,Active
4477,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Bachelor,94178.0,Married,Nova,2015-05-13,2021-12-31,2871.15,Standard,Non-Zero Income,2424,Active
4478,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Bachelor,23803.0,Married,Nova,2016-05-25,2021-12-31,2871.44,Standard,Non-Zero Income,2046,Active
4479,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Bachelor,57749.0,Single,Nova,2021-11-25,2021-12-31,2872.05,Standard,Non-Zero Income,36,Active
4480,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,Bachelor,57749.0,Single,Nova,2018-01-12,2021-12-31,2872.05,Standard,Non-Zero Income,1449,Active
4481,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,79681.0,Single,Nova,2016-09-15,2021-12-31,2872.67,Standard,Non-Zero Income,1933,Active
4482,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,Bachelor,36844.0,Married,Nova,2021-09-11,2019-05-11,2872.98,Standard,Non-Zero Income,-854,Inactive
4483,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Bachelor,44084.0,Married,Nova,2019-11-27,2021-12-31,2874.07,Standard,Non-Zero Income,765,Active
4484,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,44084.0,Married,Nova,2021-01-26,2021-12-31,2874.07,Standard,Non-Zero Income,339,Active
4485,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Bachelor,33462.0,Married,Nova,2018-07-13,2021-12-31,2874.09,Standard,Non-Zero Income,1267,Active
4486,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,84768.0,Married,Nova,2020-11-10,2021-12-31,2875.43,Standard,Non-Zero Income,416,Active
4487,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,84768.0,Married,Nova,2021-07-19,2021-12-31,2875.43,Standard,Non-Zero Income,165,Active
4488,Ontario,London,42.984924,-81.245277,M5B 3E4,College,0.0,Single,Nova,2016-11-12,2021-02-24,2876.78,Standard,Zero Income,1565,Inactive
4489,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Bachelor,40171.0,Divorced,Nova,2017-12-06,2021-12-31,2876.82,Standard,Non-Zero Income,1486,Active
4490,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,32807.0,Married,Nova,2015-07-03,2021-12-31,2877.35,Standard,Non-Zero Income,2373,Active
4491,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,32807.0,Married,Nova,2021-04-04,2021-12-31,2877.35,2021 Promotion,Non-Zero Income,271,Active
4492,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,38870.0,Divorced,Nova,2018-09-06,2021-12-31,2877.81,Standard,Non-Zero Income,1212,Active
4493,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Bachelor,79189.0,Married,Nova,2018-02-17,2021-12-31,2878.77,Standard,Non-Zero Income,1413,Active
4494,Ontario,Ottawa,45.421532,-75.697189,K1G 4Z0,College,0.0,Single,Nova,2016-07-28,2021-12-31,2878.85,Standard,Zero Income,1982,Active
4495,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,42247.0,Divorced,Nova,2018-03-05,2021-12-31,2879.51,Standard,Non-Zero Income,1397,Active
4496,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Bachelor,40525.0,Married,Nova,2016-10-12,2021-12-31,2879.63,Standard,Non-Zero Income,1906,Active
4497,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Bachelor,40525.0,Married,Nova,2020-04-26,2021-12-31,2879.63,Standard,Non-Zero Income,614,Active
4498,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Bachelor,81565.0,Married,Nova,2019-07-17,2021-12-31,2880.35,Standard,Non-Zero Income,898,Active
4499,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,81565.0,Married,Nova,2020-07-19,2021-12-31,2880.35,Standard,Non-Zero Income,530,Active
4500,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,37741.0,Single,Nova,2016-08-02,2021-12-31,2883.17,Standard,Non-Zero Income,1977,Active
4501,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,63438.0,Married,Nova,2017-11-08,2021-12-31,2884.64,Standard,Non-Zero Income,1514,Active
4502,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Bachelor,77748.0,Married,Nova,2015-11-30,2021-12-31,2885.0,Standard,Non-Zero Income,2223,Active
4503,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,77748.0,Married,Nova,2020-11-09,2021-12-31,2885.0,Standard,Non-Zero Income,417,Active
4504,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Bachelor,62579.0,Married,Nova,2016-12-10,2021-12-31,2885.33,Standard,Non-Zero Income,1847,Active
4505,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Bachelor,92722.0,Married,Nova,2018-01-20,2021-12-31,2885.41,Standard,Non-Zero Income,1441,Active
4506,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Bachelor,35654.0,Married,Nova,2021-03-18,2021-12-31,2885.74,2021 Promotion,Non-Zero Income,288,Active
4507,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Bachelor,35654.0,Married,Nova,2020-05-12,2021-12-31,2885.74,Standard,Non-Zero Income,598,Active
4508,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Bachelor,52972.0,Single,Nova,2018-07-24,2021-12-31,2886.23,Standard,Non-Zero Income,1256,Active
4509,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Master,10312.0,Married,Nova,2018-10-27,2021-12-31,2886.45,Standard,Non-Zero Income,1161,Active
4510,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Master,10312.0,Married,Nova,2021-06-15,2021-12-31,2886.45,Standard,Non-Zero Income,199,Active
4511,Ontario,London,42.984924,-81.245277,M5B 3E4,Master,10312.0,Married,Nova,2018-08-19,2021-12-31,2886.45,Standard,Non-Zero Income,1230,Active
4512,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Master,10312.0,Married,Nova,2019-11-25,2021-12-31,2886.45,Standard,Non-Zero Income,767,Active
4513,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Master,10312.0,Married,Nova,2015-09-15,2021-12-31,2886.45,Standard,Non-Zero Income,2299,Active
4514,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Master,10312.0,Married,Nova,2016-01-09,2021-12-31,2886.45,Standard,Non-Zero Income,2183,Active
4515,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Master,10312.0,Married,Nova,2020-08-09,2021-12-31,2886.45,Standard,Non-Zero Income,509,Active
4516,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,College,0.0,Single,Nova,2016-03-09,2021-12-31,2887.74,Standard,Zero Income,2123,Active
4517,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,College,0.0,Single,Nova,2021-02-03,2021-12-31,2887.74,2021 Promotion,Zero Income,331,Active
4518,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,62018.0,Married,Nova,2018-06-01,2021-12-31,2887.78,Standard,Non-Zero Income,1309,Active
4519,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,62018.0,Married,Nova,2015-12-11,2021-12-31,2887.78,Standard,Non-Zero Income,2212,Active
4520,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Bachelor,65412.0,Married,Nova,2021-02-14,2021-12-31,2888.85,2021 Promotion,Non-Zero Income,320,Active
4521,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,72075.0,Married,Nova,2019-12-15,2021-12-31,2889.09,Standard,Non-Zero Income,747,Active
4522,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,51906.0,Married,Nova,2020-06-14,2021-12-31,2890.34,Standard,Non-Zero Income,565,Active
4523,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Bachelor,51906.0,Married,Nova,2015-08-08,2021-12-31,2890.34,Standard,Non-Zero Income,2337,Active
4524,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,80590.0,Married,Nova,2019-06-20,2021-11-28,2891.27,Standard,Non-Zero Income,892,Inactive
4525,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Bachelor,21979.0,Married,Nova,2019-09-04,2021-12-31,2891.72,Standard,Non-Zero Income,849,Active
4526,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,56761.0,Married,Nova,2018-08-18,2021-12-31,2891.73,Standard,Non-Zero Income,1231,Active
4527,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,56761.0,Married,Nova,2020-11-02,2021-12-31,2891.73,Standard,Non-Zero Income,424,Active
4528,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Bachelor,30406.0,Married,Nova,2020-03-13,2021-12-31,2893.31,Standard,Non-Zero Income,658,Active
4529,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Bachelor,61809.0,Married,Nova,2015-05-12,2021-12-31,2893.81,Standard,Non-Zero Income,2425,Active
4530,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,College,0.0,Single,Nova,2021-02-09,2021-12-31,2894.24,2021 Promotion,Zero Income,325,Active
4531,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,College,0.0,Single,Nova,2018-05-07,2021-12-31,2894.24,Standard,Zero Income,1334,Active
4532,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Bachelor,28204.0,Married,Nova,2021-12-21,2021-12-31,2894.58,Standard,Non-Zero Income,10,Active
4533,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Bachelor,28204.0,Married,Nova,2017-09-27,2021-12-31,2894.58,Standard,Non-Zero Income,1556,Active
4534,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Bachelor,72014.0,Married,Nova,2016-08-04,2021-12-31,2895.21,Standard,Non-Zero Income,1975,Active
4535,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,Bachelor,33746.0,Divorced,Nova,2017-09-07,2021-12-31,2896.92,Standard,Non-Zero Income,1576,Active
4536,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Bachelor,75041.0,Single,Nova,2018-05-13,2021-12-31,2897.28,Standard,Non-Zero Income,1328,Active
4537,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Bachelor,54337.0,Married,Nova,2017-10-24,2021-12-31,2897.62,Standard,Non-Zero Income,1529,Active
4538,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Bachelor,54337.0,Married,Nova,2017-05-29,2021-12-31,2897.62,Standard,Non-Zero Income,1677,Active
4539,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,College,0.0,Single,Nova,2015-11-01,2021-12-31,2897.78,Standard,Zero Income,2252,Active
4540,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,College,0.0,Single,Nova,2019-02-17,2021-12-31,2898.73,Standard,Zero Income,1048,Active
4541,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,33738.0,Divorced,Nova,2021-04-12,2021-12-31,2899.32,2021 Promotion,Non-Zero Income,263,Active
4542,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Bachelor,65247.0,Married,Nova,2021-09-08,2021-12-31,2899.7,Standard,Non-Zero Income,114,Active
4543,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Bachelor,65247.0,Married,Nova,2021-12-28,2021-12-31,2899.7,Standard,Non-Zero Income,3,Active
4544,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Bachelor,66524.0,Married,Nova,2017-10-22,2021-12-31,2899.92,Standard,Non-Zero Income,1531,Active
4545,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Bachelor,96137.0,Married,Nova,2020-09-07,2021-12-31,2902.15,Standard,Non-Zero Income,480,Active
4546,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Bachelor,96137.0,Married,Nova,2018-06-22,2021-12-31,2902.15,Standard,Non-Zero Income,1288,Active
4547,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Bachelor,23893.0,Married,Nova,2017-10-26,2021-12-31,2902.62,Standard,Non-Zero Income,1527,Active
4548,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Bachelor,36845.0,Married,Nova,2017-01-10,2017-09-10,2903.02,Standard,Non-Zero Income,243,Inactive
4549,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Bachelor,20510.0,Married,Nova,2018-05-08,2021-12-31,2903.24,Standard,Non-Zero Income,1333,Active
4550,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,College,0.0,Married,Nova,2021-11-18,2021-12-31,2903.75,Standard,Zero Income,43,Active
4551,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,College,0.0,Married,Nova,2016-03-03,2021-12-31,2903.75,Standard,Zero Income,2129,Active
4552,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Bachelor,72211.0,Married,Nova,2021-03-01,2021-12-31,2906.3,2021 Promotion,Non-Zero Income,305,Active
